,Unnamed: 0,Epoch,TrainLoss,TrainN2NLossTrainWarpLoss,TrainTVLoss,ValLoss,ValN2NLoss,ValWarpLoss,ValTVLoss,Best Score
0,0.0,2,390.2524281293154,,67.94092152267694,542.9349429905415,537.561792541634,1.6818544139492917,32.75897645984183,100.0
1,1.0,4,313.2825680077076,,62.648707535117865,542.9282293400981,537.5568771904166,1.682311307046224,32.44245319034566,100.0
2,2.0,6,279.536583825298,,15.601720053540625,542.9283228110183,537.5579924068668,1.6823474010875956,32.328385436399415,100.0
3,3.0,8,239.8111020093379,,19.78116478447033,542.9311658848416,537.5623069703579,1.682154985081235,32.23983985795216,100.0
4,4.0,10,212.6696598198679,,51.559390914109024,542.9264967414465,537.559138102965,1.6822976705787536,32.047751020978794,100.0
5,5.0,12,418.9294837415218,,41.99082474224269,542.924802750349,537.5588065521284,1.6823776717170733,31.886849806390025,100.0
6,6.0,14,200.16088129745592,,54.64444454345438,542.9243926297535,537.5595858151262,1.6824725131631235,31.73853232609955,100.0
7,7.0,16,532.9419374465942,,16.59360993653536,542.9232195019722,537.5596816566858,1.6828160283198073,31.50952116332271,100.0
8,8.0,18,306.7772268601086,,58.59044761113498,542.9220125079155,537.5604836100881,1.6828447643836792,31.29904336211356,100.0
9,9.0,20,560.040295124054,,40.74691981077194,542.9190288890492,537.5586246902292,1.6828043656212024,31.19906313209371,100.0
10,10.0,22,495.8705099092589,,43.01668144762516,542.9225574162874,537.5630777667869,1.6828321518418805,31.0981674966487,100.0
11,11.0,24,205.5319139940871,,45.64264830615786,542.9223396561363,537.5631431286986,1.682952046394348,31.033869959752668,100.0
12,12.0,26,612.0927333831787,,48.56898532145553,542.9233099249277,537.5646881081841,1.6829494058831849,30.976929574866187,100.0
13,,28,623.9193161880529,,78.79613445680818,542.9152927615426,537.558688358827,1.6829221091360194,30.782616146924823,100.0
14,,30,663.0823697756838,,52.148035371009215,542.9111150178041,537.5547456470404,1.683006084270098,30.734595757993787,100.0
15,,32,462.08832164605457,,42.2616150851051,542.908980765126,537.5528894364834,1.68306518885815,30.690449755638838,100.0
16,,34,570.6781606983255,,27.602378819367768,542.9121909493749,537.5564189797099,1.6828196557154034,30.730898365039717,100.0
17,,36,241.1732608857362,,53.54798358419667,542.910727926276,537.5553200190718,1.6828405416824601,30.688473108139902,100.0
18,,38,309.3466928795628,,48.68640685858934,542.906600643288,537.5520522621546,1.6829152485694396,30.580113811249085,100.0
19,,40,280.2276921768983,,33.48296518541045,542.9060310125351,537.5519252636216,1.6829399206802589,30.527744357558817,100.0
20,,42,621.3921326913952,,74.455891540389,542.9063496941869,537.552894177762,1.6831754103556953,30.39310665123842,100.0
21,,44,548.7121082382438,,61.89337657925523,542.9024564271624,537.5498540022156,1.6830693612891163,30.339793175120246,100.0
22,,46,624.7321581840515,,33.109992891550064,542.9029979489067,537.5511493872513,1.683079470901496,30.260582369836897,100.0
23,,48,241.31391488987467,,48.2485277335281,542.9020219228485,537.5508368015289,1.6830711630808022,30.19648938524452,100.0
24,,50,530.3681582212448,,32.315477058291435,542.9047065025027,537.5537696209822,1.6831219915977933,30.15665189278397,100.0
25,,52,276.3208657503128,,35.549503937363625,542.9048104719683,537.554035809907,1.6831633693072945,30.128231018104337,100.0
26,,54,634.1655831094142,,60.03762459681357,542.8996211425825,537.5502329658378,1.6829748611516233,30.045713382688433,100.0
